 redshift id F0378 F0378_err F0395 F0395_err F0410 F0410_err F0430 F0430_err F0515 F0515_err F0660 F0660_err F0861 F0861_err sdss.up sdss.up_err sdss.gp sdss.gp_err sdss.rp sdss.rp_err sdss.ip sdss.ip_err sdss.zp sdss.zp_err
0.001825 T17-2492 7.708263e-03 3.854131e-03 1.603607e-02 8.018037e-03 2.990936e-02 1.161631e-02 3.605644e-02 8.731200e-03 3.556912e-02 8.301647e-03 6.304249e-02 3.715936e-03 6.048070e-02 1.036417e-02 1.066901e-02 9.826525e-05 3.193600e-02 2.941414e-04 5.108867e-02 4.705440e-04 6.717130e-02 6.186706e-04 6.716361e-02 6.185997e-04
0.001825 T17-2517 2.176348e-02 8.369204e-03 2.563469e-02 1.249963e-02 5.506102e-02 1.062008e-02 6.331647e-02 1.113292e-02 8.403284e-02 7.826214e-03 1.418135e-01 4.509834e-03 1.730627e-01 1.096143e-02 1.326548e-02 1.221796e-04 6.717324e-02 6.186884e-04 1.201042e-01 1.106201e-03 1.609228e-01 1.482154e-03 1.700966e-01 1.566647e-03
0.001825 T17-2467 9.769362e-03 4.884681e-03 3.735247e-02 1.561116e-02 3.183503e-02 1.009630e-02 1.809444e-02 9.047222e-03 5.089115e-02 7.401947e-03 7.717865e-02 3.976953e-03 9.834177e-02 8.633186e-03 1.078819e-02 9.936290e-05 3.706110e-02 3.413454e-04 5.818022e-02 5.358596e-04 7.789630e-02 7.174515e-04 7.932170e-02 7.305798e-04
0.001825 T17-2459 6.248976e-03 3.124488e-03 0.000000e+00 9.900000e+01 1.271916e-02 6.359582e-03 0.000000e+00 9.900000e+01 1.302614e-02 6.513070e-03 3.004610e-02 3.435597e-03 5.557626e-02 9.922379e-03 2.377681e-03 1.094963e-04 1.000699e-02 2.765032e-04 1.978521e-02 3.644570e-04 3.014364e-02 5.552663e-04 3.524871e-02 6.493052e-04
0.001825 T17-2504 1.336891e-02 6.684457e-03 1.008034e-02 5.040170e-03 1.768425e-03 8.842126e-04 1.150226e-03 5.751128e-04 1.448888e-02 7.033019e-03 3.323541e-02 3.477843e-03 3.894763e-02 9.271661e-03 1.559127e-03 8.616055e-05 9.568998e-03 2.644012e-04 1.980335e-02 3.647912e-04 2.907299e-02 5.355443e-04 3.071645e-02 5.658179e-04
0.001825 T17-2475 3.492895e-03 1.746448e-03 2.353791e-02 1.176896e-02 1.407155e-02 7.035777e-03 5.576187e-03 2.788093e-03 1.727702e-02 7.414837e-03 3.279870e-02 3.551992e-03 4.822342e-02 9.020331e-03 4.059783e-03 1.121759e-04 1.501666e-02 2.766172e-04 2.561720e-02 4.718862e-04 3.398887e-02 6.260981e-04 3.525758e-02 6.494686e-04
0.001825 T17-2668 1.865335e-02 9.281761e-03 1.768692e-02 8.843460e-03 4.803941e-02 1.157606e-02 1.937202e-02 9.686012e-03 4.955420e-02 8.123390e-03 6.960904e-02 3.407281e-03 6.246499e-02 9.100010e-03 1.035257e-02 9.535074e-05 3.822942e-02 3.521060e-04 5.992528e-02 5.519322e-04 8.373599e-02 7.712370e-04 8.695907e-02 8.009226e-04
0.001825 T17-2627 1.337299e-02 6.686494e-03 2.205651e-02 1.102826e-02 1.053803e-02 5.269015e-03 3.230519e-03 1.615259e-03 6.813799e-03 3.406899e-03 2.330585e-02 3.790129e-03 4.954531e-02 9.617710e-03 2.516334e-03 1.158815e-04 1.048657e-02 2.897547e-04 2.015409e-02 3.712521e-04 3.176807e-02 5.851895e-04 3.720500e-02 6.853415e-04
0.001825 T17-2662 5.385839e-03 2.692920e-03 0.000000e+00 9.900000e+01 8.648771e-03 4.324386e-03 1.268254e-02 6.341270e-03 5.972850e-03 2.986425e-03 3.707526e-02 3.689306e-03 5.267725e-02 1.004376e-02 2.967366e-03 1.093218e-04 1.494570e-02 4.129648e-04 2.995855e-02 5.518568e-04 4.375855e-02 4.030312e-04 4.753139e-02 8.755606e-04
0.001825 T17-2755 3.448625e-03 1.724312e-03 4.480432e-03 2.240216e-03 1.038050e-02 5.190250e-03 1.543137e-02 7.715687e-03 2.662636e-02 8.302723e-03 4.483458e-02 3.724438e-03 6.915860e-02 1.034943e-02 5.122803e-03 9.436552e-05 2.581789e-02 2.377915e-04 5.523385e-02 5.087226e-04 8.345275e-02 7.686282e-04 8.934648e-02 8.229115e-04
