recno,T17ID,oldID,RAJ2000,DEJ2000,Prob,Rgc,PA,umag,gmag,rmag,imag,zmag,e_umag,s_umag,e_gmag,s_gmag,e_rmag,s_rmag,e_imag,s_imag,e_zmag,s_zmag
1745,T17-1745,GC0294,201.44370833333332,-42.58169444444444,-1.0,26.67,13.72,20.58,19.54,19.23,19.23,19.08,0.01,0.08,0.01,0.04,0.01,0.08,0.01,0.02,0.01,0.03
1733,T17-1733,GC0288,201.4407083333333,-42.57166666666666,-1.0,27.23,12.93,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,
1804,T17-1804," ",201.4692083333333,-42.56679999999999,1.0,27.85,17.36,22.65,21.27,20.75,20.36,20.32,0.02,0.1,0.02,0.07,0.02,0.1,0.01,0.04,0.02,0.06
1809,T17-1809,GC0323,201.4720833333333,-42.51463888888888,-1.0,30.94,16.06,22.32,20.45,19.67,19.55,19.22,0.03,0.1,0.03,0.05,0.03,0.09,0.01,0.02,0.01,0.03
1868,T17-1868,GC0343,201.49812499999996,-42.54427777777777,-1.0,29.59,20.82,21.67,20.15,19.66,19.48,19.12,0.02,0.09,0.02,0.05,0.02,0.09,0.01,0.02,0.01,0.03
1963,T17-1963," ",201.54991666666663,-42.49159999999999,1.0,33.54,25.42,22.03,20.52,19.81,19.44,19.36,0.01,0.09,0.01,0.05,0.01,0.09,0.01,0.02,0.01,0.03
1860,T17-1860,GC0338,201.49229166666663,-42.527252777777775,1.0,30.48,19.34,21.63,20.07,19.46,19.02,18.91,0.01,0.08,0.01,0.04,0.01,0.08,0.01,0.02,0.01,0.02
1892,T17-1892," ",201.50816666666663,-42.494861111111106,1.0,32.61,20.31,22.95,21.28,20.63,20.18,20.04,0.03,0.1,0.02,0.07,0.02,0.1,0.01,0.03,0.01,0.05
1657,T17-1657," ",201.40283333333332,-42.52799722222222,1.0,29.55,5.96,22.72,21.13,20.38,19.96,19.84,0.02,0.1,0.02,0.06,0.02,0.09,0.01,0.03,0.01,0.05
1659,T17-1659,GC0635/H12-122,201.40437499999996,-42.49886944444444,1.0,31.3,5.85,22.59,21.2,20.54,20.12,19.98,0.02,0.09,0.02,0.07,0.02,0.09,0.01,0.03,0.01,0.05
