 redshift        id         F0378               F0378_err         F0395               F0395_err         F0410               F0410_err         F0430               F0430_err         F0515              F0515_err        F0660              F0660_err        F0861              F0861_err 
 0.001825  T17-2421    0.00644951     0.00328861773431118   0.008105765    0.004133145881050081   0.005209005   0.0026560823044305786    0.01404648    0.007162327561729079    0.02847233   0.007727468904285866   0.02943658   0.004677378283324965   0.02991898   0.011482738722730914 
 0.001825  T17-2433   0.007529236   0.0038391721286445287     0.0109672    0.005592197661528158    0.01581172    0.008062428843507892    0.01797715    0.009166585826039813   0.009225662   0.004704183056381144   0.02017839   0.004433653200831342  0.007169293   0.003655636000276079 
 0.001825  T17-2515   0.002197126   0.0011203188347822062           0.0                    99.0    0.01306989     0.00666436045388978    0.02975666    0.010418229059770428    0.01189908   0.006067363130799491   0.03745995   0.005164585403270431   0.03108319   0.009959802094126669 
 0.001825  T17-2479    0.02350995    0.010066024009330049    0.01750263    0.008924625190919449    0.03737216     0.01220129189689174    0.04361266    0.011360795070401367    0.06628378   0.011186716913327163    0.1122868   0.011916503651817048    0.1460126    0.01837713140536629 
 0.001825  T17-2518   0.009515956    0.004852204533449035           0.0                    99.0   0.007328641   0.0037368888370019533    0.01603026    0.008173859874215914    0.01094812   0.005582469712876909   0.03030569   0.004808661079153011   0.02942529   0.010093327596451877 
 0.001825  T17-2601    0.03151765    0.008953951168042464    0.01365098   0.0069606633011278455    0.03477461    0.011365179233805377    0.03337035    0.010511367767860899    0.04671131   0.009695217886832764    0.0712845   0.008152463586373386   0.08319672   0.013054429432264897 
 0.001825  T17-2600    0.01388374    0.007079347098745547           0.0                    99.0    0.01759401    0.008971219050653987     0.0316984     0.01021823677102092    0.05517905   0.009788019020805436   0.07608452    0.00833599171980065   0.09280674   0.013795410490981267 
 0.001825  T17-2460   0.004666129   0.0023792687726844584   0.003318591   0.0016921555363730045   0.006073066    0.003096668204133688    0.01330147   0.0067824445283662296    0.01941135   0.007485983618241561   0.03210274  0.0048458151293978395   0.03519584    0.01043212161915231 
 0.001825  T17-2371    0.02887957     0.01026385987782228    0.03657546     0.01637377536012132    0.03576997    0.012810561760500942    0.04247787    0.011165968428321342    0.07001903   0.010395579517389735    0.1124168   0.012287117211251182    0.1206308   0.017946752345159835 
 0.001825  T17-2402    0.01083362    0.005524085939446272    0.03645395    0.012988304140403589   0.004038855    0.002059419555466843    0.01443356    0.007359702370222589    0.02651137   0.008834257387819589   0.04128196   0.005379307382316147   0.06020704    0.01140561046050868 
 0.001825  T17-2279   0.004216815     0.00215016170673074   0.003856575    0.001966474627773074   0.009925871   0.0050612205015501364    0.02601756    0.009783177214530666    0.02539398   0.008060393328342482   0.03709304   0.005116110575099115   0.04044841    0.01015740488063216 
 0.001825  T17-2342   0.001361385   0.0006941728680512513    0.02439832    0.012440750977888111    0.02053654    0.010471621820167877    0.01159195    0.005910758905639867    0.02155833     0.0086185728628346   0.03804362   0.005358902065828784   0.04644384   0.011406359048331594 
 0.001825  T17-2352    0.00746016   0.0038039501414524352    0.02414834     0.01231328568808732    0.01709549    0.008717022729862358    0.02111607    0.009060620460684687    0.03527915    0.00834537623521702   0.08776454   0.009488243409076573    0.1068525   0.014799873769816417 
