 redshift        id         F0378               F0378_err         F0395               F0395_err         F0410              F0410_err         F0430               F0430_err       F0515              F0515_err       F0660              F0660_err       F0861              F0861_err      sdss.up             sdss.up_err      sdss.gp            sdss.gp_err      sdss.rp            sdss.rp_err     sdss.ip            sdss.ip_err     sdss.zp            sdss.zp_err 
 0.001825  T17-2421   0.004353464     0.00221983978877237   0.005555671    0.002832847974300494   0.003622382   0.001847059650368726   0.009944105    0.005070518053731221  0.02142684  0.0058153047033458185  0.02394177   0.003804269607523237  0.02602189   0.009987061773361422  0.001977089  0.00020511737051656572   0.01028078  0.0010453749469568321   0.01870795    0.00190227027250053  0.02754395  0.0028007364308938265  0.02992445  0.0030427915255525537 
 0.001825  T17-2479    0.01555942    0.006661922842366159    0.01177097    0.006002039591810854    0.02551938   0.008331586735483705    0.03034467    0.007904577150187922  0.04917519   0.008299300255000839   0.0903845    0.00959210908779378   0.1261074    0.01587186692123674  0.006137991   0.0006163970425944223   0.03944811   0.003961507661309941   0.06918728   0.006948011939858665   0.1066661   0.010711757044126911   0.1127266   0.011320372190793905 
 0.001825  T17-2601    0.01982152    0.005631159160026024    0.00874129    0.004457200828397347    0.02265188   0.007403181775576499    0.02220026     0.00699288687373827  0.03339898   0.006932161987323508  0.05586142   0.006388600289542304  0.07056488   0.011072363697266451   0.00831814   0.0008353347036023405   0.02466188  0.0024766262908171048   0.04207521   0.004225329589649783  0.06137991   0.006163970425944225  0.06427266    0.00645446978980342 
 0.001825  T17-2460     0.0031255   0.0015936985489734248   0.002257775    0.001151244368520537   0.004193295    0.00213816881283477   0.009353146     0.00476918739674823  0.01452683   0.005602272198393969  0.02600472   0.003925336373377446   0.0305278    0.00904850440530594  0.001458902  0.00016061683167975765  0.009376187  0.0009727527727057117   0.02070266  0.0021050972957912997  0.03251069   0.003305766755488931  0.03532045  0.0035914700492838923 
 0.001825  T17-2371    0.01909198    0.006785329566883911    0.02457174    0.011000061223392168    0.02440031   0.008738660825069824    0.02952634    0.007761453906700535   0.0519047   0.007706183109493571  0.09043647   0.009884674462635227   0.1041448   0.015494059612651554   0.01037591   0.0010419826680725303   0.04966223   0.004987242848112193   0.09290225    0.00932954645103796   0.1318336   0.013239159439627918   0.1330535   0.013361665706098324 
 0.001825  T17-2402   0.007330132   0.0037376486105210904    0.02504245    0.008922464676643668   0.002814812  0.0014352781315095135    0.01023945    0.005221116516426443  0.01998537   0.006659629712833365  0.03361789   0.004380629568066786  0.05240889   0.009928330554415733  0.002187894  0.00022698778872958696   0.01393241   0.001416681645064003   0.03048079  0.0030609801854346026  0.04699225  0.0047191147558200116  0.05058552  0.0050799626348647505 
 0.001825  T17-2279   0.002732021   0.0013930633293448688   0.002541135    0.001295729204877026   0.006645818   0.003388715566578618    0.01776702    0.006680792447107229  0.01855174   0.005888573184337696  0.02952564   0.004072366263593195   0.0346713   0.008706656964692935  0.001786596   0.0001903985435157846  0.008954189  0.0009289716879306764   0.01836649  0.0018675497863574857  0.02805603  0.0028528059888563123  0.03133475  0.0031861942750309124 
 0.001825  T17-2342  0.0008999143    0.000458868106655153    0.01638957    0.008357072744358816    0.01400771   0.007142558663074878   0.008056905    0.004108231091125991     0.01598   0.006388472370407186  0.03060364  0.0043108915171199795  0.04009528   0.009847185163891659  0.001445527  0.00015914431241967274  0.008472786  0.0008790274819906657   0.02421175    0.00243142277517244  0.04018151   0.004035158071512709  0.04966223   0.004987242848112193 
 0.001825  T17-2352   0.004932889   0.0025152902172290597    0.01622642    0.008273885182736584    0.01166392   0.005947453607337176    0.01468053    0.006299216414755887  0.02615628   0.006187337366835592  0.07061229   0.007633910002832166  0.09225648   0.012778219043807045  0.004487725    0.000456322891578488   0.01836649   0.001844422736236975   0.05058552  0.0050799626348647505  0.07943762   0.007977384466304088  0.09638873   0.009679670118844857 
 0.001825  T17-2511    0.01899456    0.005366816658729549   0.004271214    0.002177900353273069    0.03763813   0.008254748750057083    0.03900394    0.007584426079746575  0.05987428    0.00820811356391132  0.09098888   0.009555176600795245    0.106715   0.013369939055936045  0.007727273   0.0007759979151784792   0.03767266   0.003783211181951121   0.07379488   0.007410722138032164    0.100006   0.010042928188304748   0.1047192   0.010516243026200018 
