source_id,ra,dec,spectrum_file,mag_F378,mag_F395,mag_F410,mag_F430,mag_F515,mag_F660,mag_F861,flux_F378,flux_F395,flux_F410,flux_F430,flux_F515,flux_F660,flux_F861,distance_arcsec,gaia_phot_g_mean_mag,gaia_phot_bp_mean_mag,gaia_phot_rp_mean_mag,gaia_ruwe,gaia_parallax,gaia_pmra,gaia_pmdec
6087608751824240256,202.68496957072688,-44.626979428755014,gaia_spectra_cenA01/gaia_xp_spectrum_6087608751824240256.dat,-6.811583333724132,-6.955904018877846,-8.375859880628402,-8.609749930688714,-9.115012657578118,-8.679130535995972,-9.429953484020805,530.436417822701,605.8451109245323,2240.494861711619,2779.0731113984775,4425.935321146249,2962.4580853359753,5915.362905615269,0.10875361074815446,12.01898,12.285152,11.594797,0.9793569,2.6150562538468933,-16.12776551103285,-7.154943955567072
6087671325209524224,202.37043469328324,-44.49539404658727,gaia_spectra_cenA01/gaia_xp_spectrum_6087671325209524224.dat,-6.790768902099732,-6.897037816377712,-8.291335221165737,-8.435970549855698,-8.99179213561476,-8.592012483541202,-9.295966138601269,520.3643803275298,573.8721203906357,2072.6887418418,2368.0355610200777,3951.0893801207503,2734.040813687363,5228.612483235664,0.2778926783883792,12.150044,12.407936,11.734916,1.0623772,1.9507724751517888,-18.333960653298767,0.05440655892982519
6087606277923079296,202.5600464959646,-44.74718308113042,gaia_spectra_cenA01/gaia_xp_spectrum_6087606277923079296.dat,-6.596018741392568,-6.874924201576959,-8.169343261730134,-8.383606514434218,-8.770375534617745,-8.31569547865713,-8.915475136651997,434.9181144894966,562.3020678664847,1852.4108013719401,2256.537762840194,3222.1830877841503,2119.718506322722,3682.9010840528194,0.11575688893268897,12.423149,12.627066,12.0800495,1.2799526,1.2976811075691383,-13.363804580345596,-1.936407475838966
6087594977871034240,202.0932644057617,-44.38522291056552,gaia_spectra_cenA01/gaia_xp_spectrum_6087594977871034240.dat,-6.5801332604146925,-6.806004171323487,-8.148959645349828,-8.387050245725256,-8.87525550103041,-8.533278535505953,-9.21345433258288,428.6011225471277,527.717709215897,1817.9580526420527,2263.706397882912,3548.9689557122356,2590.0694787055727,4845.981290106123,0.29437818726918996,12.250082,12.52451,11.813898,0.95487255,1.011724288667126,-7.561929291138675,-0.18128959349499962
6087654415916522752,202.9616648238941,-44.27093872167436,gaia_spectra_cenA01/gaia_xp_spectrum_6087654415916522752.dat,-6.577654910084839,-6.722975721860674,-8.11158302732311,-8.323174489869059,-8.861170193250702,-8.537757881669025,-9.255471754365868,427.62389409065804,488.86651223142314,1756.4395634109437,2134.370432325364,3503.2253699079024,2600.777220680111,5037.19428258191,0.22560130316435553,12.263168,12.553806,11.808235,1.1981778,1.7465568529926454,-13.086046269535494,-8.88744522653922
6084353269692366976,203.6064170116216,-45.312566580873465,gaia_spectra_cenA01/gaia_xp_spectrum_6084353269692366976.dat,-6.56664244543142,-6.770846848886952,-8.075384753145148,-8.295185828203014,-8.742178419392484,-8.410086631333243,-9.027009930446258,423.3084892913048,510.90333728141445,1698.845566970131,2080.052666181316,3139.578654755661,2312.249278125383,4081.3512449762256,0.4477238964722949,12.414499,12.662717,12.011003,1.0045998,1.7522551347739033,-10.43338001270077,-13.81126851231003
6087312673958003968,202.56294584104765,-45.20716509530197,gaia_spectra_cenA01/gaia_xp_spectrum_6087312673958003968.dat,-6.503007613414374,-6.703821968234567,-8.039725963250639,-8.241511939502999,-8.578604586310485,-8.168388384602473,-8.81588133319169,399.21150178538585,480.317917150665,1643.9567408120333,1979.724582474227,2700.485405507476,1850.7823697994095,3360.1025581980853,0.15618630269108433,12.759233,13.007584,12.350706,1.1156642,0.9310513989080417,-12.101002352672246,2.271277235478484
6087604255000142336,202.6816019857291,-44.743433041376484,gaia_spectra_cenA01/gaia_xp_spectrum_6087604255000142336.dat,-6.493676945921965,-6.6413496290999054,-8.12434618851906,-8.366916578442394,-8.920248057063247,-8.570683831662894,-9.294925335773021,395.795432728326,453.46090625535965,1777.2088834293395,2222.1155135367035,3699.1268370698394,2680.856282908404,5223.602659393948,0.1259920257716574,12.183056,12.472381,11.732944,1.1172577,1.5165595786020514,-18.150952134480455,-2.443758477389567
6087458157392489856,203.61622953216033,-44.27399830442782,gaia_spectra_cenA01/gaia_xp_spectrum_6087458157392489856.dat,-6.425298387695671,-6.590623324222237,-7.944424700430672,-8.159429879633649,-8.632689830460707,-8.304577318398339,-8.944857374149503,371.6373503818404,432.76220973784564,1505.8089710321794,1835.5742297320899,2838.415254479054,2098.1229166675907,3783.928745294658,0.3122639729528413,12.547638,12.810298,12.128656,1.0964288,1.777486654322358,-2.783955572690288,-2.8145472566963554
6087516053551771776,202.0532871812018,-44.94885321872227,gaia_spectra_cenA01/gaia_xp_spectrum_6087516053551771776.dat,-6.4164540588173224,-6.602651232726123,-7.964702360683101,-8.184792443338875,-8.651506758830562,-8.304376779204034,-8.91210684658786,368.62231610648416,437.58305207048437,1534.1963467859673,1878.9575882534104,2888.0366718127243,2097.73542196834,3671.4932883487872,0.2385923752677826,12.492741,12.737367,12.097175,1.2299597,1.9622261194733388,-6.9564855926781375,-0.9559397956092369
