source_id,filter,ra,dec,x,y,flux,flux_err,mag,mag_err,snr,aper_radius_arcsec,aper_radius_pixels
T17-2467,F378,202.36766666666665,-45.218263888888885,7879.081261649852,2923.1836688997364,0.6212982191568014,0.19218534656411496,24.046749728036595,0.3358493270298371,3.2328074448148945,3.0,5.454545454545454
T17-2794,F378,203.06466666666665,-45.26204444444444,4665.98972110487,2643.2773403689475,0.7655678875982231,0.187695428130864,23.8200407292594,0.2661915750262061,4.078777491929414,3.0,5.454545454545454
T17-2759,F378,203.0108333333333,-45.21297499999999,4913.511726127836,2964.9492982790343,0.78442907042714,0.18695574119736696,23.79361580009302,0.2587673309899675,4.195800917389467,3.0,5.454545454545454
T17-2544,F378,202.5755,-45.12152777777777,6923.196712402623,3561.2816991880236,1.0170247489040867,0.18881767707667227,23.51167119640086,0.20157443397653824,5.386279317964008,3.0,5.454545454545454
T17-2602,F378,202.66904166666663,-44.78695555555555,6496.951114368177,5752.623417155116,0.5692792444005823,0.18776787166067777,24.141686625077742,0.35811313754646923,3.031824557447974,3.0,5.454545454545454
T17-2731,F378,202.9363333333333,-44.41698333333333,5253.676088783398,8175.5428411928915,0.9772448962329523,0.21926960941189805,23.55499147259911,0.24361237849322218,4.456818703029645,3.0,5.454545454545454
T17-2856,F378,203.2530833333333,-44.44150277777777,3773.494848578216,8011.228031290879,0.7854349126206793,0.1915177209212697,23.792224495563413,0.2647421449132961,4.10110828826937,3.0,5.454545454545454
T17-2753,F378,203.00375,-44.36922777777777,4938.020567731155,8487.810289965368,0.7531540274177756,0.1900104922864914,23.837790493040846,0.2739164410587735,3.9637496769504468,3.0,5.454545454545454
T17-2749,F378,202.99816666666663,-44.12605277777777,4961.905017943383,10079.703112001927,0.6228449510823137,0.20678715827910066,24.04405012921881,0.36046901244447566,3.0120098185287687,3.0,5.454545454545454
T17-2585,F378,202.6370833333333,-44.23965555555555,6656.287383011221,9334.66379084723,0.6909051487053786,0.1922107059809303,23.931453927227874,0.30205321644607874,3.5945195933775147,3.0,5.454545454545454
T17-2550,F378,202.5809583333333,-44.18536111111111,6920.8164632957,9689.205900080273,0.8854668996268086,0.1981453471113378,23.66206917223251,0.2429606089779493,4.468774626987658,3.0,5.454545454545454
T17-2520,F378,202.509375,-44.123997222222215,7258.679619509109,10089.531696633696,2.289682586045663,0.2008493372880023,22.63056179707977,0.09524001209786556,11.400000701831726,3.0,5.454545454545454
T17-3019,F378,203.78204166666663,-44.21341944444444,1284.909471933981,9485.106695621902,1.1300821140525041,0.2245301839331139,23.39722499663607,0.21571932404361344,5.033096638753693,3.0,5.454545454545454
T17-2630,F395,202.746625,-45.26478888888888,6131.258702667274,2625.710358596838,1.0207227253781908,0.3253895840729185,23.577730539964787,0.3461148099237816,3.1369250134000937,3.0,5.454545454545454
T17-2544,F395,202.5755,-45.12152777777777,6923.196712402623,3561.2816991880236,1.5658147401119815,0.32689249232226253,23.113149057334024,0.22666730928367473,4.789999088043736,3.0,5.454545454545454
T17-2731,F395,202.9363333333333,-44.41698333333333,5253.676088783398,8175.5428411928915,1.3023000841600676,0.37260007733042017,23.313222328439288,0.31063915204630566,3.4951685826012144,3.0,5.454545454545454
T17-2753,F395,203.00375,-44.36922777777777,4938.020567731155,8487.810289965368,0.9924728175163932,0.3305405408956696,23.60820344784612,0.36160167417868433,3.0025751601515442,3.0,5.454545454545454
T17-2520,F395,202.509375,-44.123997222222215,7258.679619509109,10089.531696633696,3.0571927046275875,0.34519625912248497,22.386692963604553,0.12259354005033386,8.856390021141026,3.0,5.454545454545454
T17-2794,F410,203.06466666666665,-45.26204444444444,4665.98972110487,2643.2773403689475,2.1976270265264324,0.6976903046781465,22.695115031448807,0.3446934417689201,3.1498603489125823,3.0,5.454545454545454
T17-2759,F410,203.0108333333333,-45.21297499999999,4913.511726127836,2964.9492982790343,3.6061697891276614,0.6925291655966411,22.15738457316238,0.2085048768935248,5.207246089081035,3.0,5.454545454545454
T17-2630,F410,202.746625,-45.26478888888888,6131.258702667274,2625.710358596838,2.2566739669324236,0.6971727949965608,22.66632795275985,0.33542538957416446,3.2368933256260464,3.0,5.454545454545454
T17-2699,F410,202.87791666666664,-45.07733333333333,5526.481676166788,3853.273907843915,2.952212465231442,0.7884651467916014,22.37463097589858,0.28997410116770256,3.744252332832334,3.0,5.454545454545454
T17-2544,F410,202.5755,-45.12152777777777,6923.196712402623,3561.2816991880236,5.488486365168622,0.6948325201072126,21.701368525892793,0.1374522542519889,7.899006172482758,3.0,5.454545454545454
T17-2534,F410,202.550125,-45.09203888888888,7041.1861814469285,3753.839339068995,2.5642716966820167,0.70316594864583,22.527589902915818,0.29772692549924656,3.6467518110345623,3.0,5.454545454545454
T17-2911,F410,203.431125,-44.43034722222222,2940.940692553032,8079.588919258023,2.207252184152783,0.707797698084254,22.690370111897465,0.3481621139496152,3.118478896056029,3.0,5.454545454545454
