# id redshift F0378 F0378_err F0395 F0395_err F0410 F0410_err F0430 F0430_err F0515 F0515_err F0660 F0660_err F0861 F0861_err
T17-2698 1.825000e-03 4.388673e-06 2.194337e-06 1.611053e-05 8.055265e-06 1.366150e-05 6.830750e-06 1.301529e-05 6.507644e-06 2.978022e-05 6.056505e-06 5.773167e-05 2.966809e-06 6.689758e-05 8.377581e-06
T17-2650 1.825000e-03 5.632711e-06 2.816355e-06 7.957421e-07 3.978710e-07 1.777561e-05 7.686179e-06 2.596123e-05 5.949279e-06 3.593979e-05 5.514520e-06 4.790587e-05 3.016215e-06 5.783922e-05 7.404837e-06
T17-2648 1.825000e-03 3.740934e-05 5.140263e-06 3.362174e-05 8.873825e-06 5.758642e-05 8.131250e-06 6.072856e-05 6.393351e-06 1.063999e-04 6.662578e-06 1.587741e-04 3.368680e-06 1.949586e-04 8.285963e-06
T17-2699 1.825000e-03 1.869260e-05 6.234783e-06 2.822834e-05 1.041725e-05 3.194334e-05 9.241735e-06 4.908258e-05 7.228159e-06 7.093809e-05 6.965501e-06 1.377116e-04 3.352217e-06 1.828991e-04 8.412976e-06
T17-2701 1.825000e-03 1.375230e-05 5.391657e-06 1.482535e-05 7.412673e-06 2.758957e-05 9.572798e-06 2.119653e-05 7.934298e-06 4.011599e-05 6.689399e-06 6.692691e-05 3.417227e-06 6.816477e-05 9.210859e-06
T17-2742 1.825000e-03 7.920431e-06 3.960215e-06 8.633448e-06 4.316724e-06 3.089338e-06 1.544669e-06 1.012129e-05 5.060643e-06 2.357418e-05 5.254049e-06 2.985124e-05 2.993765e-06 3.973970e-05 7.648749e-06
T17-2797 1.825000e-03 1.090679e-05 5.453396e-06 3.137709e-06 1.568854e-06 1.131956e-05 5.659778e-06 7.681899e-06 3.840949e-06 1.504193e-05 5.276173e-06 3.664909e-05 2.728989e-06 5.279161e-05 7.891245e-06
T17-2799 1.825000e-03 1.281025e-05 5.105756e-06 1.430144e-05 7.150722e-06 2.163314e-05 7.543196e-06 1.985008e-05 6.622883e-06 7.567400e-05 5.506920e-06 1.438403e-04 2.902649e-06 2.220352e-04 7.725615e-06
T17-2589 1.825000e-03 2.549667e-06 1.274833e-06 1.010186e-05 5.050931e-06 1.876361e-05 7.433479e-06 3.598116e-06 1.799058e-06 1.961312e-05 5.488587e-06 2.812554e-05 2.681300e-06 2.744583e-05 7.640383e-06
T17-2544 1.825000e-03 2.800268e-05 6.490410e-06 2.606671e-05 9.692544e-06 5.593293e-05 7.389017e-06 5.515510e-05 6.313338e-06 9.835621e-05 5.566079e-06 1.600499e-04 3.785894e-06 1.795082e-04 8.503154e-06
T17-2553 1.825000e-03 1.456750e-05 5.527100e-06 2.074113e-05 9.452955e-06 2.679352e-05 7.771391e-06 2.488652e-05 6.560470e-06 5.429701e-05 6.022014e-06 8.525482e-05 3.935982e-06 1.095350e-04 9.793344e-06
T17-2534 1.825000e-03 2.002291e-05 5.179361e-06 2.867731e-05 8.696397e-06 2.346644e-05 8.328355e-06 3.606182e-05 7.258793e-06 7.874977e-05 6.340598e-06 1.274331e-04 2.890968e-06 1.711678e-04 8.162845e-06
T17-2829 1.825000e-03 3.695614e-06 1.847807e-06 4.999342e-07 2.499671e-07 1.170426e-05 5.852130e-06 1.436487e-05 6.796372e-06 2.978536e-05 5.525925e-06 4.244146e-05 2.624805e-06 7.218114e-05 8.230617e-06
T17-2851 1.825000e-03 7.279901e-06 3.639951e-06 2.763844e-05 8.686154e-06 2.179529e-05 8.022403e-06 1.963538e-05 6.905635e-06 4.227833e-05 5.597333e-06 7.239529e-05 2.882146e-06 8.580456e-05 7.898574e-06
T17-2911 1.825000e-03 5.641708e-06 2.820854e-06 2.724766e-05 9.309297e-06 2.253640e-05 8.199145e-06 2.814371e-05 6.282321e-06 5.291416e-05 5.310507e-06 1.024430e-04 2.858582e-06 1.266418e-04 7.843132e-06
T17-2889 1.825000e-03 5.049730e-06 2.524865e-06 2.358236e-06 1.179118e-06 6.558982e-07 3.279491e-07 1.518800e-05 6.138096e-06 1.367129e-05 6.122823e-06 2.419688e-05 2.739957e-06 3.362975e-05 7.883320e-06
T17-2962 1.825000e-03 3.518839e-05 6.132787e-06 3.869515e-05 9.314573e-06 6.597663e-05 8.071675e-06 6.374562e-05 7.835357e-06 9.891895e-05 9.451858e-06 1.536368e-04 1.351961e-05 1.044329e-04 2.457732e-05
T17-2198 1.825000e-03 2.574752e-07 1.287376e-07 1.736104e-05 8.680519e-06 1.181794e-05 5.908971e-06 1.860969e-05 6.864556e-06 2.297212e-05 5.704643e-06 2.663511e-05 3.100342e-06 3.943785e-05 9.572462e-06
T17-2369 1.825000e-03 1.220434e-05 5.513628e-06 1.658648e-05 8.293239e-06 1.357664e-05 6.788322e-06 2.161998e-05 6.235063e-06 3.463125e-05 5.459834e-06 4.294993e-05 2.819433e-06 6.491719e-05 8.088838e-06
T17-2194 1.825000e-03 2.913093e-05 6.272438e-06 2.213879e-05 9.061079e-06 3.075287e-05 8.257739e-06 4.286387e-05 6.895742e-06 5.920226e-05 5.745300e-06 8.682964e-05 3.425901e-06 1.142601e-04 9.517051e-06
T17-2233 1.825000e-03 1.256849e-05 6.280317e-06 2.118904e-05 9.705630e-06 3.507242e-05 7.746478e-06 2.225658e-05 7.588528e-06 4.020891e-05 5.865790e-06 5.135524e-05 2.864842e-06 6.837209e-05 8.430889e-06
T17-2361 1.825000e-03 1.891559e-05 5.087227e-06 2.132423e-05 1.066211e-05 2.961808e-05 7.605805e-06 3.605988e-05 6.168297e-06 5.819844e-05 5.843951e-06 1.698859e-04 3.009790e-06 2.370433e-04 7.592139e-06
T17-2358 1.825000e-03 4.708210e-06 2.354105e-06 3.584539e-06 1.792269e-06 6.242844e-06 3.121422e-06 1.063249e-05 5.316246e-06 4.040537e-05 5.981807e-06 5.908281e-05 3.107845e-06 1.048493e-04 8.454928e-06
T17-2415 1.825000e-03 3.890710e-07 1.945355e-07 6.086787e-06 3.043394e-06 1.149509e-05 5.747545e-06 4.575664e-06 2.287832e-06 2.108423e-05 5.125271e-06 4.277566e-05 2.499915e-06 5.104214e-05 8.030829e-06
T17-2327 1.825000e-03 7.955263e-06 3.977632e-06 8.560659e-06 4.280330e-06 3.780183e-06 1.890091e-06 4.339021e-06 2.169510e-06 1.466686e-05 5.662581e-06 2.868058e-05 2.654563e-06 5.310840e-05 7.774044e-06
T17-2346 1.825000e-03 2.231822e-06 1.115911e-06 6.786426e-06 3.393213e-06 1.438612e-06 7.193059e-07 7.987177e-06 3.993589e-06 1.784235e-05 5.658357e-06 2.700432e-05 2.776152e-06 3.342158e-05 8.714628e-06
T17-2387 1.825000e-03 1.951400e-06 9.757002e-07 4.930690e-06 2.465345e-06 4.280117e-06 2.140058e-06 1.607123e-06 8.035613e-07 1.673866e-05 5.050647e-06 3.021908e-05 2.574004e-06 3.159634e-05 7.180974e-06
T17-2211 1.825000e-03 1.615448e-05 5.861087e-06 1.530911e-05 7.654553e-06 2.275126e-05 8.421834e-06 2.657703e-05 7.175175e-06 4.219633e-05 5.221002e-06 6.049942e-05 2.737404e-06 8.314016e-05 7.433090e-06
T17-2285 1.825000e-03 1.338719e-05 6.638209e-06 2.656029e-05 9.643832e-06 1.975490e-05 7.113241e-06 2.516639e-05 6.502089e-06 4.467741e-05 5.481483e-06 8.267232e-05 3.013961e-06 1.176647e-04 7.598874e-06
T17-2232 1.825000e-03 2.864234e-05 6.117343e-06 4.608982e-05 9.758529e-06 4.712384e-05 7.420733e-06 5.598788e-05 6.567729e-06 1.033877e-04 5.561620e-06 1.442072e-04 3.104355e-06 1.872200e-04 8.379792e-06
T17-2264 1.825000e-03 9.812215e-06 4.906107e-06 1.709129e-05 8.545645e-06 8.450023e-06 4.225011e-06 6.211621e-06 3.105810e-06 1.937040e-05 5.323282e-06 3.815651e-05 3.202966e-06 5.956792e-05 8.495679e-06
T17-2331 1.825000e-03 7.978691e-06 3.989346e-06 6.004302e-06 3.002151e-06 2.271510e-05 7.586156e-06 1.667736e-05 6.472658e-06 2.107786e-05 5.546688e-06 3.517765e-05 3.395386e-06 8.118206e-05 1.132442e-05
T17-2522 1.825000e-03 1.634473e-05 5.263914e-06 1.826897e-05 9.134484e-06 3.868225e-05 8.325952e-06 4.458392e-05 6.120300e-06 5.817681e-05 5.868095e-06 9.266281e-05 2.933375e-06 1.043483e-04 7.838035e-06
T17-2596 1.825000e-03 1.255983e-05 5.722801e-06 1.090504e-05 5.452522e-06 2.225338e-05 7.336603e-06 4.140112e-05 6.320051e-06 6.232082e-05 5.048177e-06 9.610305e-05 5.459051e-06 1.145261e-04 1.657292e-05
T17-2602 1.825000e-03 2.127966e-05 5.633385e-06 1.631200e-05 8.155998e-06 3.121734e-05 7.652528e-06 3.508347e-05 6.251636e-06 7.770700e-05 5.520911e-06 1.165601e-04 3.057374e-06 1.670332e-04 8.136607e-06
T17-2687 1.825000e-03 1.520793e-05 5.379752e-06 1.666069e-05 8.330347e-06 1.180482e-05 5.902412e-06 1.470827e-05 6.492193e-06 2.486315e-05 5.300295e-06 5.271223e-05 2.921186e-06 7.343717e-05 8.563961e-06
T17-2636 1.825000e-03 1.222797e-05 5.777498e-06 7.823504e-06 3.911752e-06 1.946835e-05 8.006306e-06 6.207008e-06 3.103504e-06 4.283508e-05 5.812057e-06 6.892654e-05 3.106956e-06 1.135085e-04 9.424251e-06
T17-2732 1.825000e-03 3.533047e-06 1.766524e-06 4.279843e-06 2.139921e-06 2.588919e-06 1.294459e-06 9.663748e-06 4.831874e-06 2.498309e-05 7.281264e-06 4.687826e-05 4.488635e-06 5.931556e-05 1.010828e-05
T17-2743 1.825000e-03 1.870209e-05 5.376864e-06 1.076558e-05 5.382791e-06 4.076418e-05 7.150474e-06 3.390976e-05 7.319823e-06 6.425045e-05 6.496020e-06 1.087091e-04 3.400277e-06 1.327305e-04 8.865929e-06
T17-2686 1.825000e-03 5.711168e-06 2.855584e-06 4.414794e-06 2.207397e-06 7.671280e-06 3.835640e-06 7.645161e-06 3.822580e-06 1.842983e-05 6.483065e-06 3.740398e-05 2.553271e-06 5.372135e-05 7.625746e-06
T17-2647 1.825000e-03 4.827608e-06 2.413804e-06 7.716176e-06 3.858088e-06 4.433185e-06 2.216593e-06 4.337234e-06 2.168617e-06 2.200810e-05 6.316554e-06 2.930182e-05 2.774455e-06 3.525532e-05 7.972808e-06
