       id  bayes.stellar.age_m_star  bayes.stellar.age_m_star_err  bayes.stellar.metallicity  bayes.stellar.metallicity_err  bayes.stellar.m_star  bayes.stellar.m_star_err            bayes.F0378         bayes.F0378_err            bayes.F0395         bayes.F0395_err            bayes.F0410         bayes.F0410_err            bayes.F0430         bayes.F0430_err           bayes.F0515         bayes.F0515_err           bayes.F0660         bayes.F0660_err           bayes.F0861         bayes.F0861_err         bayes.sdss.gp       bayes.sdss.gp_err         bayes.sdss.ip       bayes.sdss.ip_err         bayes.sdss.rp       bayes.sdss.rp_err          bayes.sdss.up       bayes.sdss.up_err         bayes.sdss.zp       bayes.sdss.zp_err     best.chi_square  best.reduced_chi_square  best.sfh.age  best.sfh.age_burst  best.sfh.age_main  best.sfh.f_burst  best.sfh.tau_burst  best.sfh.tau_main  best.stellar.age_m_star  best.stellar.imf  best.stellar.metallicity  best.stellar.old_young_separation_age   best.universe.age  best.universe.luminosity_distance  best.universe.redshift  best.sfh.integrated            best.sfh.sfr     best.sfh.sfr100Myrs      best.sfh.sfr10Myrs        best.stellar.lum     best.stellar.lum_ly  best.stellar.lum_ly_old  best.stellar.lum_ly_young    best.stellar.lum_old  best.stellar.lum_young  best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young  best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young       best.stellar.n_ly   best.stellar.n_ly_old  best.stellar.n_ly_young             best.F0378             best.F0395             best.F0410             best.F0430             best.F0515            best.F0660            best.F0861           best.sdss.up           best.sdss.gp          best.sdss.rp          best.sdss.ip          best.sdss.zp 
 T17-2421         7025.278103973091              2163.00301074998        0.02248948553811804           0.007366382766119363    504413.20993109094         97142.87702987475  0.0025822445447453626  0.00022459894401872865  0.0029089736346310274  0.00027752883193295246    0.00525763429572099   0.0003002150992089413   0.006439338553679866   0.0002930060384680942  0.011889286435887162  0.00013117879315514882  0.021129558139016333   0.0005449008247015398  0.030567257601543343   0.0011608430878603745  0.009540658412643266  0.00017072181772168456   0.02593781088983704   0.0008236032792901445   0.01931335061484559  0.00040028674840813117   0.002089780773162921  0.00016863364152578734   0.03226709385765257   0.0012667652929216513   7.698614657224679       0.6998740597476981       10000.0                20.0            10000.0               0.0                50.0             2000.0        6281.209073303964               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    859117.6827889435   1.508759728877193e-05  1.5390070463238685e-05    1.51147865579395e-05   1.269407216472004e+32   4.266207194380514e+29   4.2660892539609884e+29     1.1794041952572539e+25   1.269332109082137e+32   7.510738986707967e+27   339856.1263667904      339851.42446797126         4.701898819072885    519261.5564221542        519251.1707236845         10.385698469699047   5.498123491379491e+46   5.498022561423576e+46   1.0092995591503804e+42  0.0025772694794349025  0.0029713824773591672   0.005316588241101995   0.006573089944842972   0.012005281416482503   0.02128116671569736  0.030628140151835632   0.002048426131970007    0.00966593210046795  0.019484277828655434   0.02601213799817672   0.03244020964168083 
 T17-2479         8039.686969991622            1933.6189636041615       0.026530934356420035           0.004809062514118896    2449988.5040234337        387599.46737443324   0.008329015841255075   0.0006002090739487793   0.009390183119357695   0.0006826991372070301   0.017957611532758315   0.0007758828537033354    0.02258740894439946   0.0007448688450256392   0.04384950361898063  0.00036782643905411584    0.0819128685176099   0.0015198367748199767   0.12058079824876738    0.003228654010904048   0.03485818929075738   0.0004182961574308055   0.10138783448399641    0.002290400900390099   0.07428077956958187   0.0011080225151920428   0.006787201514817535  0.00046417117424971664    0.1276678291969812   0.0035593352687251115   8.981826713616357       0.8165297012378506       12000.0                20.0            12000.0               0.0                50.0             2000.0        8118.742419634408               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825   4189082.9046469172    3.17144823053411e-05  3.2377341592314885e-05  3.1774021354194635e-05  4.9173138335260994e+32   2.040376328757051e+30    2.040351537405078e+30      2.479135197303227e+25   4.917155956036308e+32  1.5787748979173196e+28  1697603.6061708154        1697593.72266955           9.8835012656365   2491479.2984761093       2491457.4674950694           21.8309810397046   3.368051201161123e+47   3.368029985448378e+47   2.1215712745252327e+42   0.008546167537482737   0.009819871205722402    0.01836266839043519    0.02311214821395154   0.044152353531389466    0.0818227916837206   0.11973840321654412   0.006847964287273466    0.03524614071325619   0.07434599772239026   0.10090085244446205   0.12693877884803537 
 T17-2601         5067.053620237784             2118.390593745001      0.0076190984874064775           0.006803440352771589     581209.7064780364         151343.4920071774   0.010121417806181754   0.0008980740792930587   0.012146925182443449   0.0014162753391151071    0.01823754102777167   0.0013927851568459216   0.020493713189339784    0.001235868145473632   0.03189573922994586   0.0006389033476868945   0.04764944945156978   0.0014196037326821072    0.0663116214545222   0.0028794688566955227   0.02669913282766625   0.0008125053609332258   0.05739425962308157   0.0018857312323933364  0.044767686195692324   0.0010903378246327443   0.007953230025189198   0.0006200417292403441   0.06978047153759587   0.0034228466764303364   8.023488828782755       0.7294080753438869        5000.0                20.0             5000.0               0.0                50.0              500.0        3992.271258331438               1.0                     0.004                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    955653.5743497245   8.697304376161302e-07   9.519965421017065e-07   8.768149202023141e-07  2.7474770538039038e+32  5.5260379750437776e+29    5.526027913341038e+29     1.0061702739131773e+24  2.7474696586608582e+32   7.395143045345911e+26   449321.0791364524       449320.7333229331       0.34581351930054954    506332.4952132721       506331.97129635385         0.5239169183155806  1.2280668234388575e+47  1.2280648185760042e+47   2.0048628532782367e+41   0.010131692295889519   0.011744915132934302   0.017627397499929375   0.019856961615666302   0.031604363588507836  0.047939684908698564   0.06745499036639575   0.007972536482559056   0.026200929551866817  0.044858855040344564    0.0581268917463445      0.07098696009219 
 T17-2460        10019.272479943567            1370.8931755194935        0.02951796915042016          0.0021420151871279626     913557.4905248514        113291.42861329798  0.0019275629082084562  0.00012359576956925557   0.002207076724572034  0.00012018775481622988   0.004465280034861092  0.00014730100919819626   0.005788121180287788  0.00012164311348652869  0.011846167395105307  4.0970667023481095e-05   0.02337382318871997   0.0005090265262249601  0.034969924659697796   0.0009752323793404585  0.009342814312245783   4.044500729796744e-05   0.02916688863455467   0.0007261711646703787  0.021019642780985573   0.0003900003517984156  0.0015688568711344358  0.00010416309004731525  0.037114312591950985   0.0010597833129638282    3.51234751289749      0.31930431935431725       13000.0                20.0            13000.0               0.0                50.0             1000.0       10989.383069173178               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    1708018.209924108   5.023683333349169e-08  5.2603648904703714e-08  5.0446115110872074e-08  1.4428831681039405e+32   7.738007001775027e+29    7.738006609071465e+29      3.927035621109306e+22  1.4428829180205538e+32   2.500833866817228e+25   712387.6902129082       712387.6745571014      0.015655806740049353    995630.5197112007        995630.4851301741       0.034581026593442345   1.602115705934245e+47  1.6021156723278247e+47   3.3606420403557445e+39  0.0018411763896269689  0.0021254907407376395    0.00436155461403231   0.005703619422910761   0.011840209925138775  0.023726923052948316  0.035659934660089224  0.0014960043525307097   0.009321185596715785   0.02128666632592619  0.029677003734470343   0.03786314115668469 
 T17-2371        6161.2416210213105             2377.454035843383       0.019304907616218902           0.009901306596722826    1729292.0448208665         341966.7866595969   0.013853746756537956   0.0010275411657095625   0.015840172351691502   0.0014382313199913194   0.026753743176170335   0.0015808179674287428   0.031868996429386315   0.0017247797962881032  0.055161252994675634   0.0008966584291656237   0.09206657745721752   0.0020776614188897135   0.13000782243679102   0.0044939326015128525    0.0449199246924287   0.0011714660715456196   0.11165036611648557   0.0032158771326339227   0.08508051810689168   0.0015114243718011464   0.011068862777557368   0.0007702816080636919   0.13698345988376842    0.004714011647896321   8.230544594919003       0.7482313268108185       12000.0                20.0            12000.0               0.0                50.0             5000.0        5642.981541613425               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    2980283.281112452  0.00018768395955278595   0.0001887698077433377  0.00018778250557579824  5.4732754988168774e+32  1.5777448374458545e+30   1.5775981240593277e+30     1.4671338652694507e+26  5.4723411915145205e+32   9.343073023574651e+28  1153855.3882769742      1153796.8984478193         58.48982915503022   1826427.8928354762       1826298.6987050786         129.19413039775577  2.0115126092618354e+47  2.0113870562436773e+47    1.255530181582965e+43   0.013693481467323396   0.016132446057639815   0.027162477899340773    0.03279368297655511   0.055892950146051196   0.09288710374733702   0.12989757841784894   0.010710872267481464   0.045776071073261676   0.08606563995941957    0.1118106455403287   0.13738384153371022 
 T17-2402        10148.212575239657            1320.4354712618876          0.029596671897502            0.00196741446523837     1326786.438443661        154451.02907350738  0.0027398135211489346   0.0001683649828704663  0.0031405116272245808  0.00016226152352811325  0.0063700149041477335  0.00020256655144863784   0.008268761500934021  0.00016856325749823743  0.016963823708644347   5.574324865850229e-05  0.033556102022942805   0.0006677946133159618   0.05024070869350206   0.0012903530552355765  0.013374711501027349  5.9855945412662336e-05  0.041888769270154225   0.0009573815007778613   0.03016471962499779   0.0005082780896641585   0.002229635154962238  0.00014234466886590968   0.05332515173809722   0.0014023810908416756  15.374788131902404       1.3977080119911276       12000.0                20.0            12000.0               0.0                50.0              500.0       10997.485875298798               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    2483177.951407526   4.508312960784122e-12   4.964515485744154e-12   4.547433645669933e-12   2.070353395341298e+32  1.1292480462006464e+30   1.1292480461971222e+30      3.524168307062653e+18   2.070353395318855e+32   2.244277950342765e+21  1036483.3296865755      1036483.3296851706    1.4049706510987639e-06   1446694.6217209531       1446694.6217178497     3.1033423096853586e-06   2.406904130709181e+47   2.406904130706165e+47   3.0158799951650428e+35  0.0026089563014047154   0.003015016806226702   0.006213354932960044   0.008138007987280902   0.016948110061812786   0.03406574652874377  0.051228375839579496  0.0021191203673079063   0.013336915679255823  0.030547587909259082  0.042625968540181094   0.05438054600060604 
 T17-2279         8014.923480109759            2021.3658953002036       0.025140312979045853           0.005380026386268451     624708.2983576941        109567.90325408585  0.0022603177533655023  0.00018183820409740196   0.002541272114590812  0.00020507820059104787   0.004824816019291229  0.00022943175243946966    0.00603631161231717   0.0002134605185557346  0.011638115945263712    9.41082700849069e-05   0.02158055576201515  0.00048591670317091036   0.03170272151527298   0.0010133089369584033  0.009263110157953565   0.0001118533932292972  0.026689421579731934   0.0007225438169034404  0.019589878310447575   0.0003594165217019442  0.0018445843365406049  0.00014112316335029395   0.03353860918660059   0.0011194402645078939  10.045677853866996       0.9132434412606361       12000.0                20.0            12000.0               0.0                50.0             2000.0        8118.742419634408               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    1110434.325453754   8.406816137914263e-06   8.582525648075778e-06   8.422598638537132e-06  1.3034724291846407e+32   5.408591722502831e+29     5.40852600604691e+29      6.571645592099118e+24  1.3034305793125155e+32  4.1849872125171103e+27   449997.6148037195      449994.99490353826         2.619900181219601    660436.7106500366        660430.9237340798         5.7869159566946635   8.927967645391561e+46   8.927911407173776e+46    5.623821778547626e+41  0.0022654022373661494  0.0026030332429737824   0.004867542073479807   0.006126525374629614   0.011703823969785233   0.02168943383509224   0.03174003380529411  0.0018152456700330788   0.009342981597322095  0.019707499161563415  0.026746610791012444  0.033648696020715824 
 T17-2342         11518.56442219796             671.6184911725604        0.02999865432224296           0.000115995546633598    1139952.9057544083        59347.459105944174  0.0019569236751844155   4.562131292289385e-05  0.0022705048681591826   4.019255829308781e-05   0.004696653295315662   4.729734704763025e-05   0.006170710071513093   3.198794847663254e-05  0.012912865285274484  3.7857412768063795e-05   0.02610521415825265  0.00031061112897141105   0.03934479219753795   0.0005846942964069478  0.010156059734942763   2.039830467479508e-05   0.03269923235610251  0.00043832670420099825  0.023388179397096715  0.00024544621192997213  0.0015897920309668827   3.753532165990597e-05   0.04178548594557148   0.0006340498876650406  20.717909499745037       1.8834463181586398       13000.0                20.0            13000.0               0.0                50.0              500.0       11997.810659104722               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825   2037948.7658845037   5.424695945987086e-13   5.975596509076322e-13   5.471927006674102e-13  1.6044826371695763e+32   8.775337715021601e+29    8.775337715017361e+29      4.240508965236937e+17  1.6044826371668757e+32   2.700461481887698e+20   855801.1296803415       855801.1296801725    1.6905522446074158e-07   1182147.6362041635       1182147.6362037903      3.734143701379671e-07   1.869977134392651e+47  1.8699771343922877e+47   3.6289033449243637e+34  0.0019245108143707626  0.0022420744229145824   0.004662528286717988  0.0061472945771443846   0.012936909366117796   0.02632066112492756  0.039754509869033096  0.0015632562167254003   0.010168297972447973  0.023557891527789327  0.033004548840874635   0.04223182778596366 
 T17-2352         9612.491229078847            1641.8518424314686       0.027612974968546228           0.004267046646053669    2066200.0062545773         310627.3837903964   0.005062838528026375   0.0004052626998762457   0.005744785338275184   0.0003993367156263947   0.011439372228216024   0.0005053514698556329     0.0146550799182065   0.0004200361446151159  0.029511746560050872  0.00014914547742638445   0.05722107135750073   0.0013051332347353262   0.08524194071875946    0.002542429320834916    0.0233300827061723  0.00018335725441666903   0.07125716458837494     0.00186602260320875  0.051585533339719436   0.0009832994127875205   0.004141218642396434  0.00035219118847582296   0.09037731291376593   0.0028188347546487967  14.557727210056608       1.3234297463687825       13000.0                20.0            13000.0               0.0                50.0              500.0       11997.246050282653               1.0                      0.02                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825   3938928.1098132352  1.0484801044330762e-12  1.1549576444963728e-12  1.0576088791947734e-12  3.4050748472930376e+32  1.6912348715911983e+30   1.6912348715904037e+30      7.945373414339674e+17   3.405074847287044e+32   5.994282710285674e+20  1940888.7914617173      1940888.7914613138     4.034761137879364e-07   1998039.3183515216       1998039.3183508764      6.450039906451397e-07  3.8340165315120394e+47   3.834016531510472e+47   1.5673290885306765e+35   0.005219246107935419   0.005839772262443506    0.01166183175357496   0.014691556414500387   0.029414131249182497   0.05655329604754367   0.08455352132503752   0.004378396156884752   0.023292212325926265   0.05098364496904338   0.07061614331768047   0.08942166127596207 
 T17-2511         7253.013825001659            2258.6134309109275       0.021000684064978545            0.00776378348031369    1895578.4270586171           309754.52477364    0.00975040178813533    0.000719487510226051   0.010922562978411304   0.0008497022499821446   0.019780416461216865   0.0009235152596376265   0.024180425595880243    0.000892370629407996  0.044759111361760785  0.00041787563623238037   0.07957039616761608    0.001545690479244367   0.11515144023209942    0.003354605343065066   0.03588668623268744   0.0005311614355939704   0.09773293943604688   0.0023414056820805344   0.07271258596129067   0.0011285285050941104    0.00791533439802769   0.0005643578597432932   0.12146212965602407   0.0037154564164514603  28.743159415356157       2.6130144923051053        7000.0                20.0             7000.0               0.0                50.0              500.0        5994.254224163001               1.0                      0.02                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    3269472.883235323   7.626497524887852e-08   8.372540870048276e-08   7.690606777144323e-08   4.688224635252678e+32  1.3193861192276025e+30   1.3193860614340684e+30      5.779353410958215e+22  4.6882241992369436e+32   4.360157342059485e+25  1537324.5960331182      1537324.5666848305       0.02934828777527343    1732148.287202202       1732148.2402855146        0.04691668747360507  2.4762599278293023e+47  2.4762598138239784e+47   1.1400532412417275e+40   0.009692903842468011   0.010735645107292116     0.0196312444290833   0.024026739306536468    0.04476646310981487   0.07977194347319283    0.1157588936224488   0.007930856704721575   0.035802202810007365   0.07282827276248612   0.09816431917662208   0.12194684801188911 
