Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75
mag_F378,19.5053,0.0311,0.0461,19.5023,0.0570,19.5000,19.5050,0.0521,100,19.3830,19.7381,19.4673,19.5266
mag_F395,19.6284,0.0345,0.0512,19.6315,0.0549,19.6292,19.6275,0.0502,100,19.5058,19.8587,19.5974,19.6675
mag_F410,20.5162,0.0171,0.0253,20.5183,0.0327,20.5161,20.5161,0.0239,100,20.4627,20.7424,20.5025,20.5337
mag_F430,20.7536,0.0164,0.0242,20.7525,0.0342,20.7507,20.7534,0.0240,100,20.6373,20.9536,20.7346,20.7668
mag_F515,20.9016,0.0139,0.0206,20.8996,0.0258,20.8991,20.9016,0.0217,100,20.8263,21.0212,20.8850,20.9128
mag_F660,20.4259,0.0092,0.0136,20.4260,0.0204,20.4251,20.4259,0.0137,100,20.3654,20.5662,20.4169,20.4350
mag_F861,21.1172,0.0068,0.0101,21.1178,0.0183,21.1165,21.1171,0.0098,100,21.0481,21.2402,21.1099,21.1234
