Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75
mag_F378,19.5219,0.0370,0.0549,19.5231,0.0594,19.5213,19.5218,0.0567,100,19.3599,19.7071,19.4884,19.5601
mag_F395,19.5977,0.0370,0.0548,19.5929,0.0541,19.5903,19.5972,0.0480,100,19.4549,19.8455,19.5556,19.6236
mag_F410,20.6213,0.0124,0.0184,20.6219,0.0314,20.6186,20.6209,0.0192,100,20.5672,20.8467,20.6056,20.6327
mag_F430,20.7434,0.0116,0.0172,20.7450,0.0294,20.7421,20.7431,0.0193,100,20.6900,20.9526,20.7321,20.7551
mag_F515,20.9775,0.0105,0.0156,20.9783,0.0204,20.9763,20.9772,0.0150,100,20.9422,21.0808,20.9671,20.9880
mag_F660,20.6086,0.0066,0.0098,20.6105,0.0167,20.6084,20.6082,0.0105,100,20.5827,20.7218,20.6015,20.6144
mag_F861,21.1861,0.0087,0.0129,21.1880,0.0150,21.1871,21.1856,0.0123,100,21.1531,21.2749,21.1788,21.1951
