Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75
mag_F378,19.6089,0.0337,0.0499,19.6085,0.0504,19.6085,19.6089,0.0504,100,19.4871,19.7443,19.5752,19.6426
mag_F395,19.7428,0.0349,0.0518,19.7448,0.0548,19.7448,19.7428,0.0548,100,19.6240,19.8753,19.7072,19.7757
mag_F410,20.7065,0.0148,0.0220,20.7071,0.0222,20.7071,20.7065,0.0222,100,20.6481,20.7551,20.6932,20.7238
mag_F430,20.9299,0.0136,0.0202,20.9295,0.0213,20.9295,20.9299,0.0213,100,20.8688,20.9788,20.9171,20.9441
mag_F515,21.0924,0.0109,0.0161,21.0929,0.0166,21.0924,21.0924,0.0156,100,21.0542,21.1508,21.0820,21.1038
mag_F660,20.6848,0.0073,0.0108,20.6837,0.0138,20.6845,20.6861,0.0112,100,20.6399,20.7317,20.6774,20.6920
mag_F861,21.2087,0.0057,0.0085,21.2080,0.0123,21.2082,21.2087,0.0087,100,21.1350,21.2562,21.2032,21.2145
