Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75
mag_F378,19.1449,0.0438,0.0650,19.1448,0.0685,19.1448,19.1449,0.0685,100,18.9746,19.3337,19.1006,19.1881
mag_F395,19.2962,0.0422,0.0625,19.3031,0.0622,19.2994,19.2946,0.0570,100,19.1448,19.4921,19.2588,19.3443
mag_F410,20.2969,0.0201,0.0298,20.2992,0.0282,20.2992,20.2969,0.0282,100,20.2233,20.3750,20.2832,20.3191
mag_F430,20.4105,0.0165,0.0244,20.4094,0.0299,20.4114,20.4109,0.0265,100,20.2973,20.4880,20.3951,20.4283
mag_F515,20.6928,0.0150,0.0222,20.6902,0.0262,20.6926,20.6933,0.0199,100,20.5356,20.7336,20.6776,20.7071
mag_F660,20.3913,0.0120,0.0179,20.3905,0.0178,20.3912,20.3913,0.0166,100,20.3234,20.4287,20.3768,20.4011
mag_F861,21.0906,0.0104,0.0154,21.0935,0.0170,21.0929,21.0905,0.0160,100,21.0457,21.1532,21.0818,21.1034
