Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75
mag_F378,19.6645,0.0272,0.0403,19.6515,0.0962,19.6647,19.6655,0.0402,100,18.8721,19.7770,19.6358,19.6904
mag_F395,19.7409,0.0328,0.0487,19.7383,0.0754,19.7422,19.7409,0.0481,100,19.1804,19.9077,19.7123,19.7774
mag_F410,20.7276,0.0138,0.0205,20.7261,0.0413,20.7270,20.7280,0.0195,100,20.4646,20.9724,20.7125,20.7400
mag_F430,20.9850,0.0132,0.0196,20.9862,0.0348,20.9850,20.9850,0.0205,100,20.8546,21.2364,20.9715,20.9980
mag_F515,21.1343,0.0099,0.0147,21.1385,0.0337,21.1343,21.1340,0.0141,100,21.0978,21.4122,21.1245,21.1449
mag_F660,20.6339,0.0092,0.0136,20.6377,0.0245,20.6347,20.6329,0.0128,100,20.6063,20.8013,20.6256,20.6440
mag_F861,21.3511,0.0079,0.0117,21.3559,0.0265,21.3521,21.3509,0.0112,100,21.2937,21.5251,21.3443,21.3621
