Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75
mag_F378,19.3467,0.0317,0.0470,19.3484,0.0498,19.3466,19.3466,0.0468,100,19.2159,19.5240,19.3157,19.3774
mag_F395,19.4939,0.0372,0.0552,19.4998,0.0564,19.4978,19.4938,0.0533,100,19.3788,19.6929,19.4571,19.5323
mag_F410,20.4916,0.0199,0.0296,20.4981,0.0338,20.4963,20.4915,0.0287,100,20.4269,20.6768,20.4783,20.5165
mag_F430,20.7023,0.0241,0.0357,20.7088,0.0370,20.7072,20.7014,0.0334,100,20.6246,20.8708,20.6857,20.7315
mag_F515,20.9015,0.0204,0.0302,20.9016,0.0284,20.9013,20.9015,0.0248,100,20.8167,21.0149,20.8813,20.9218
mag_F660,20.4588,0.0154,0.0229,20.4617,0.0209,20.4607,20.4584,0.0183,100,20.4195,20.5650,20.4460,20.4760
mag_F861,21.1530,0.0101,0.0149,21.1555,0.0151,21.1544,21.1523,0.0133,100,21.1230,21.2150,21.1449,21.1640
