Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75
mag_F378,19.5782,0.0269,0.0398,19.5808,0.0452,19.5808,19.5782,0.0452,100,19.4465,19.7132,19.5525,19.6053
mag_F395,19.7695,0.0334,0.0495,19.7752,0.0542,19.7735,19.7692,0.0517,100,19.6373,19.9463,19.7385,19.8099
mag_F410,20.6728,0.0177,0.0262,20.6772,0.0359,20.6762,20.6714,0.0236,100,20.4703,20.7991,20.6585,20.6949
mag_F430,20.8513,0.0182,0.0270,20.8514,0.0405,20.8507,20.8513,0.0255,100,20.6183,21.0206,20.8343,20.8696
mag_F515,21.0226,0.0121,0.0179,21.0257,0.0401,21.0249,21.0225,0.0193,100,20.7438,21.1730,21.0120,21.0395
mag_F660,20.5588,0.0129,0.0192,20.5598,0.0401,20.5575,20.5571,0.0166,100,20.3156,20.7530,20.5443,20.5699
mag_F861,21.1538,0.0073,0.0109,21.1558,0.0325,21.1538,21.1536,0.0106,100,20.9565,21.3383,21.1471,21.1615
