Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75
mag_F378,19.6486,0.0332,0.0492,19.6437,0.0643,19.6485,19.6490,0.0453,100,19.2977,19.7928,19.6162,19.6813
mag_F395,19.6829,0.0379,0.0563,19.6879,0.0619,19.6898,19.6829,0.0479,100,19.3273,19.8573,19.6485,19.7317
mag_F410,20.6989,0.0121,0.0179,20.6942,0.0451,20.6984,20.6989,0.0161,100,20.2856,20.7635,20.6856,20.7085
mag_F430,20.8965,0.0128,0.0189,20.8937,0.0425,20.8978,20.8965,0.0161,100,20.5111,20.9470,20.8845,20.9105
mag_F515,21.0972,0.0097,0.0144,21.0958,0.0165,21.0971,21.0976,0.0136,100,21.0270,21.1352,21.0883,21.1077
mag_F660,20.6280,0.0069,0.0102,20.6261,0.0245,20.6291,20.6282,0.0114,100,20.4181,20.6620,20.6222,20.6352
mag_F861,21.1654,0.0080,0.0119,21.1637,0.0185,21.1652,21.1655,0.0113,100,21.0167,21.1986,21.1567,21.1732
