Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75
mag_F378,19.5541,0.0280,0.0415,19.5549,0.0771,19.5533,19.5541,0.0541,100,19.2483,20.0161,19.5252,19.5792
mag_F395,19.6986,0.0431,0.0639,19.7083,0.0820,19.7050,19.6986,0.0556,100,19.4717,20.2668,19.6609,19.7436
mag_F410,20.6730,0.0184,0.0273,20.6780,0.0549,20.6731,20.6729,0.0238,100,20.5802,21.1521,20.6551,20.6919
mag_F430,20.7775,0.0181,0.0269,20.7845,0.0597,20.7782,20.7770,0.0251,100,20.6884,21.2984,20.7622,20.7968
mag_F515,21.0031,0.0115,0.0171,21.0067,0.0386,21.0022,21.0026,0.0182,100,20.9639,21.3226,20.9909,21.0136
mag_F660,20.5158,0.0082,0.0121,20.5191,0.0214,20.5164,20.5157,0.0115,100,20.4862,20.6872,20.5081,20.5251
mag_F861,21.1506,0.0060,0.0088,21.1542,0.0229,21.1506,21.1504,0.0090,100,21.1155,21.3115,21.1451,21.1579
