Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75
mag_F378,19.5579,0.0390,0.0578,19.5567,0.0900,19.5611,19.5579,0.0607,100,18.9213,19.7654,19.5201,19.5965
mag_F395,19.6328,0.0421,0.0625,19.6383,0.0845,19.6421,19.6328,0.0596,100,19.0665,19.8320,19.6013,19.6833
mag_F410,20.6205,0.0141,0.0209,20.6155,0.0682,20.6184,20.6199,0.0254,100,20.0265,20.8322,20.6039,20.6333
mag_F430,20.8236,0.0183,0.0271,20.8187,0.0583,20.8218,20.8236,0.0240,100,20.3228,21.0106,20.8017,20.8375
mag_F515,20.9603,0.0097,0.0143,20.9561,0.0517,20.9589,20.9603,0.0162,100,20.4988,21.1331,20.9505,20.9695
mag_F660,20.5005,0.0081,0.0120,20.4992,0.0317,20.5004,20.5005,0.0123,100,20.2283,20.6008,20.4922,20.5083
mag_F861,21.0654,0.0060,0.0089,21.0650,0.0183,21.0649,21.0652,0.0079,100,20.9443,21.1662,21.0594,21.0709
