Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75
mag_F378,19.6682,0.0328,0.0486,19.6626,0.0580,19.6671,19.6695,0.0481,100,19.3798,19.7789,19.6339,19.6972
mag_F395,19.6900,0.0236,0.0349,19.6908,0.0471,19.6928,19.6909,0.0428,100,19.4910,19.8139,19.6642,19.7122
mag_F410,20.6601,0.0154,0.0229,20.6587,0.0284,20.6605,20.6603,0.0218,100,20.4764,20.7108,20.6460,20.6775
mag_F430,20.9060,0.0128,0.0189,20.9081,0.0213,20.9075,20.9058,0.0205,100,20.8509,20.9704,20.8957,20.9207
mag_F515,21.0619,0.0135,0.0201,21.0597,0.0165,21.0597,21.0619,0.0165,100,21.0219,21.0916,21.0466,21.0706
mag_F660,20.6093,0.0082,0.0122,20.6089,0.0119,20.6089,20.6093,0.0119,100,20.5823,20.6406,20.6008,20.6168
mag_F861,21.1723,0.0052,0.0078,21.1726,0.0098,21.1726,21.1723,0.0088,100,21.1426,21.2051,21.1673,21.1779
