Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75
mag_F378,19.3722,0.0327,0.0484,19.3577,0.1112,19.3678,19.3726,0.0503,100,18.4190,19.5567,19.3325,19.4013
mag_F395,19.5206,0.0370,0.0549,19.5168,0.0508,19.5168,19.5206,0.0508,100,19.4068,19.6416,19.4783,19.5534
mag_F410,20.5323,0.0134,0.0199,20.5319,0.0291,20.5298,20.5322,0.0203,100,20.4730,20.7399,20.5176,20.5426
mag_F430,20.6775,0.0148,0.0220,20.6813,0.0290,20.6787,20.6774,0.0204,100,20.6241,20.8772,20.6668,20.6962
mag_F515,20.8480,0.0095,0.0141,20.8502,0.0269,20.8471,20.8478,0.0150,100,20.8094,21.0323,20.8374,20.8565
mag_F660,20.4991,0.0105,0.0155,20.5000,0.0188,20.4992,20.4990,0.0131,100,20.4392,20.5843,20.4888,20.5100
mag_F861,21.1565,0.0069,0.0102,21.1579,0.0168,21.1569,21.1563,0.0098,100,21.0869,21.2473,21.1508,21.1637
