Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75
mag_F378,19.5688,0.0247,0.0367,19.5746,0.0449,19.5746,19.5688,0.0449,100,19.4460,19.6981,19.5490,19.5967
mag_F395,19.6442,0.0321,0.0476,19.6415,0.0435,19.6415,19.6442,0.0435,100,19.5184,19.7299,19.6117,19.6705
mag_F410,20.6203,0.0128,0.0190,20.6188,0.0176,20.6187,20.6203,0.0160,100,20.5689,20.6754,20.6057,20.6322
mag_F430,20.6859,0.0121,0.0180,20.6849,0.0182,20.6842,20.6858,0.0169,100,20.6439,20.7539,20.6717,20.6966
mag_F515,21.0190,0.0092,0.0136,21.0170,0.0152,21.0168,21.0190,0.0136,100,20.9743,21.0736,21.0087,21.0262
mag_F660,20.5146,0.0079,0.0117,20.5144,0.0135,20.5138,20.5145,0.0120,100,20.4881,20.5777,20.5063,20.5209
mag_F861,21.1308,0.0080,0.0119,21.1327,0.0125,21.1322,21.1307,0.0117,100,21.1103,21.1784,21.1246,21.1390
