Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75
mag_F378,19.4583,0.0321,0.0476,19.4561,0.0670,19.4529,19.4582,0.0505,100,19.2252,19.7420,19.4191,19.4822
mag_F395,19.5996,0.0298,0.0442,19.6037,0.0608,19.6010,19.5992,0.0504,100,19.4334,19.8570,19.5684,19.6201
mag_F410,20.5292,0.0152,0.0225,20.5291,0.0379,20.5271,20.5292,0.0227,100,20.4346,20.8191,20.5121,20.5438
mag_F430,20.7840,0.0139,0.0206,20.7854,0.0329,20.7837,20.7840,0.0205,100,20.7038,21.0307,20.7716,20.7990
mag_F515,20.9654,0.0096,0.0142,20.9679,0.0278,20.9656,20.9652,0.0155,100,20.9292,21.1980,20.9576,20.9756
mag_F660,20.5433,0.0093,0.0137,20.5465,0.0204,20.5453,20.5431,0.0138,100,20.4897,20.6800,20.5353,20.5548
mag_F861,21.1713,0.0064,0.0095,21.1741,0.0149,21.1722,21.1711,0.0099,100,21.1454,21.2623,21.1660,21.1780
