Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75,Field
mag_F395,19.69,0.0236,0.0349,19.6908,0.0471,19.6928,19.6909,0.0428,100,19.491,19.8139,19.6642,19.7122,CenA13
mag_F410,20.6601,0.0154,0.0229,20.6587,0.0284,20.6605,20.6603,0.0218,100,20.4764,20.7108,20.646,20.6775,CenA13
mag_F430,20.906,0.0128,0.0189,20.9081,0.0213,20.9075,20.9058,0.0205,100,20.8509,20.9704,20.8957,20.9207,CenA13
mag_F515,21.0619,0.0135,0.0201,21.0597,0.0165,21.0597,21.0619,0.0165,100,21.0219,21.0916,21.0466,21.0706,CenA13
mag_F660,20.6093,0.0082,0.0122,20.6089,0.0119,20.6089,20.6093,0.0119,100,20.5823,20.6406,20.6008,20.6168,CenA13
mag_F861,21.1723,0.0052,0.0078,21.1726,0.0098,21.1726,21.1723,0.0088,100,21.1426,21.2051,21.1673,21.1779,CenA13
mag_F378,19.4583,0.0321,0.0476,19.4561,0.067,19.4529,19.4582,0.0505,100,19.2252,19.742,19.4191,19.4822,CenA12
mag_F395,19.5996,0.0298,0.0442,19.6037,0.0608,19.601,19.5992,0.0504,100,19.4334,19.857,19.5684,19.6201,CenA12
mag_F410,20.5292,0.0152,0.0225,20.5291,0.0379,20.5271,20.5292,0.0227,100,20.4346,20.8191,20.5121,20.5438,CenA12
mag_F430,20.784,0.0139,0.0206,20.7854,0.0329,20.7837,20.784,0.0205,100,20.7038,21.0307,20.7716,20.799,CenA12
mag_F515,20.9654,0.0096,0.0142,20.9679,0.0278,20.9656,20.9652,0.0155,100,20.9292,21.198,20.9576,20.9756,CenA12
mag_F660,20.5433,0.0093,0.0137,20.5465,0.0204,20.5453,20.5431,0.0138,100,20.4897,20.68,20.5353,20.5548,CenA12
mag_F861,21.1713,0.0064,0.0095,21.1741,0.0149,21.1722,21.1711,0.0099,100,21.1454,21.2623,21.166,21.178,CenA12
mag_F378,19.5927,0.0384,0.0569,19.5831,0.0613,19.5831,19.5927,0.0613,100,19.4535,19.7039,19.5427,19.6251,CenA07
mag_F395,19.7073,0.0335,0.0497,19.7134,0.0596,19.7134,19.7073,0.0596,100,19.5418,19.8573,19.6783,19.7434,CenA07
mag_F410,20.7111,0.0193,0.0286,20.7105,0.0296,20.7115,20.7114,0.0282,100,20.6147,20.7835,20.6918,20.7303,CenA07
mag_F430,20.9314,0.0175,0.0259,20.934,0.0245,20.934,20.9314,0.0245,100,20.8756,20.9888,20.9151,20.9527,CenA07
mag_F515,21.1081,0.0157,0.0233,21.11,0.0222,21.1109,21.1084,0.0204,100,21.021,21.1635,21.095,21.1249,CenA07
mag_F660,20.6565,0.0095,0.0141,20.6548,0.0148,20.6548,20.6565,0.0148,100,20.6174,20.6852,20.6448,20.664,CenA07
mag_F861,21.2409,0.0073,0.0109,21.2428,0.0114,21.2432,21.2409,0.0106,100,21.2006,21.2673,21.2359,21.2513,CenA07
mag_F378,19.519,0.0314,0.0466,19.5251,0.0795,19.5187,19.518,0.0479,100,19.3965,20.1587,19.4868,19.5482,CenA23
mag_F395,19.5437,0.0363,0.0537,19.5542,0.1098,19.5446,19.5436,0.0537,100,19.4324,20.5088,19.5061,19.5747,CenA23
mag_F410,20.5438,0.0152,0.0225,20.5539,0.1062,20.5435,20.5437,0.0227,100,20.4949,21.5868,20.5263,20.5576,CenA23
