Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75
mag_F378,19.6368,0.0224,0.0332,19.6373,0.0487,19.6373,19.6368,0.0487,100,19.5070,19.7771,19.6141,19.6570
mag_F395,19.4709,0.0312,0.0463,19.4759,0.0484,19.4759,19.4709,0.0484,100,19.3639,19.5888,19.4480,19.5111
mag_F410,20.6451,0.0120,0.0178,20.6445,0.0177,20.6445,20.6451,0.0177,100,20.6016,20.6822,20.6332,20.6573
mag_F430,20.8619,0.0127,0.0188,20.8632,0.0201,20.8632,20.8619,0.0201,100,20.8161,20.9092,20.8507,20.8762
mag_F515,21.0345,0.0072,0.0106,21.0331,0.0138,21.0337,21.0350,0.0127,100,20.9774,21.0623,21.0266,21.0414
mag_F660,20.5740,0.0093,0.0138,20.5755,0.0141,20.5746,20.5735,0.0127,100,20.5490,20.6250,20.5665,20.5838
mag_F861,21.0917,0.0112,0.0166,21.0921,0.0146,21.0921,21.0917,0.0146,100,21.0604,21.1325,21.0802,21.1012
