source_id,ra,dec,spectrum_file,mag_F378,mag_F395,mag_F410,mag_F430,mag_F515,mag_F660,mag_F861,flux_F378,flux_F395,flux_F410,flux_F430,flux_F515,flux_F660,flux_F861,distance_arcsec,gaia_phot_g_mean_mag,gaia_phot_bp_mean_mag,gaia_phot_rp_mean_mag,gaia_ruwe,gaia_parallax,gaia_pmra,gaia_pmdec
6087080165910356608,200.91883840142117,-45.87538604531395,,-2.457056390375813,-2.6476952679440204,-4.17279962172796,-4.421523021532652,-5.117573429835026,-4.980570797193314,-5.6314074288301255,9.612194635126155,11.457189786685497,46.67881782522486,58.69609495099574,111.43698974143227,98.22642068196215,178.88048822023566,0.0559062877271115,15.696097,16.033007,15.191882,0.93227994,0.4252756276234817,-1.9310457535684153,-0.1556626351411608
6087048932907979648,200.6843133857082,-46.19687109840902,,-2.4560384835282214,-2.645522959094029,-4.224495690963509,-4.49449934524546,-5.437703119712573,-5.5344142434418355,-6.345153138406305,9.603187167567425,11.434289497355712,48.95513768936351,62.77688152613552,149.6515598298699,163.59336942515714,345.19242380414585,0.09111892904551516,15.2074795,15.697868,14.545477,1.0293716,0.09785596516539638,-7.5195783914814225,-1.6036972223690467
6087079272557125376,200.88408743664232,-45.91731033078596,,-2.4549134156147288,-2.7975592823406314,-4.585140544599718,-4.9949854382846555,-6.105775273546806,-6.405627631260086,-7.272619796634356,9.593241250852094,13.152966468142589,68.24270261189741,99.53920672273664,276.89180948539706,364.9648611054203,811.0505416204575,0.04786423683697349,14.366462,14.948086,13.644908,1.0254428,0.18251360850702417,-9.815472828291776,-4.908760942059724
6087067349727862272,200.58326030062517,-45.97573829860025,,-2.4475096664400438,-2.6690344048059913,-4.198004219787099,-4.454358015672882,-5.232082447275175,-5.2053686167991575,-5.8938854750351455,9.528046469202824,11.684597637306057,47.77510914673739,60.49830489009675,123.83202614008013,120.82239679314678,227.80024667084422,0.12080044815675137,15.508239,15.899283,14.948726,0.9961989,0.9285485342681823,-7.570103354434952,-4.841180251379232
6087086350663334656,201.10322920854597,-45.77930205473396,,-2.438400360980735,-2.5978556538408597,-4.1533216336848415,-4.3819397996718,-5.161567301217497,-5.0948232277261365,-5.783476141064138,9.44844075837663,10.943147714835144,45.848871799000335,56.59472055519501,116.04513029452977,109.12626499317517,205.77397943707473,0.11877324888227307,15.617928,15.998523,15.067964,0.9954208,0.4540750985869786,-0.7214532766212092,0.5152691970392427
6086893661250955648,201.17945965020445,-45.95386821957855,,-2.4375432719559447,-2.7842495864059504,-4.470339434880904,-4.781424078051296,-5.746089641233159,-5.929097471996122,-6.7405316312635755,9.440985025293365,12.992712678997995,61.39539162396688,81.76541234006491,198.808915612927,235.309244139136,496.835537663973,0.09805893047041743,14.839074,15.344284,14.170883,1.0499262,0.38100814345607653,-1.3866347725736539,-2.646502525824087
6087119061134908160,200.55161583851321,-45.80779229222924,,-2.435197461274882,-2.6800007173933493,-4.2174507124864995,-4.4654069705725155,-5.198438311988706,-5.096827207868674,-5.747895842687607,9.420609122009092,11.803214155414025,48.6385125505253,61.117106951959265,120.05363792384318,109.32786903863929,199.13992401257843,0.13566242506848808,15.602707,15.958092,15.080351,1.1528413,0.417747557215735,-8.175799561229201,-0.7018101625213058
6086893833049652352,201.1918027388071,-45.93071364379061,,-2.433884103270553,-2.6610448081061566,-4.15863125477955,-4.390428707800586,-5.141410158988609,-5.071075640546079,-5.737118840790055,9.409220396002853,11.598929887435448,46.073637593908124,57.03894486489365,113.9105801121082,106.76533232652086,197.17304177238893,0.07259166876566914,15.644407,16.006355,15.112875,1.0384389,0.4173441896542598,-13.80072913524457,-1.9160533651726888
6086883628207249152,200.85950780968346,-46.20887707909078,,-2.4335307802958157,-2.6472683339495653,-4.224089521222149,-4.472967300557192,-5.2308648015699974,-5.162965831731075,-5.823874440121276,9.406158922274825,11.45268546768705,48.936827185662644,61.54417016499419,123.69322721785433,116.19470366600379,213.5746857628988,0.1421101881500106,15.550679,15.926973,15.007224,1.0408001,0.3011795465470299,-12.582069763968876,-7.693771250495978
6087075282527136896,201.05012652177774,-45.96499757371396,,-2.427087321562651,-2.6380057743604324,-4.324038352069783,-4.64563508957514,-5.656858545873281,-5.853403175791923,-6.718252048588891,9.35050202534998,11.355396670601724,53.6556352266508,72.15294065427398,183.12322087422012,219.46297914195353,486.7442383600821,0.06860967262880886,14.900109,15.444437,14.200876,1.1542584,0.12545809324214152,-7.433875781905132,-1.9432224649656504
6087080818745408128,200.92171116589694,-45.839701943769136,,-2.4263925917498286,-2.646770036279595,-4.089628731600032,-4.352957129695365,-5.077596872186908,-5.018150549093604,-5.7353877149577634,9.344520835244783,11.447430473810364,43.23659578541895,55.10396529034367,107.40852407239747,101.68577890460118,196.85891447760181,0.03014723095686815,15.755612,16.066347,15.156486,1.00654,0.6413750078626013,-0.9114515847291524,-4.949997077500297
6087095765231641600,200.61338365970107,-45.77523546748322,,-2.4171713713176426,-2.592571355796754,-4.16002039188599,-4.3718248256773276,-5.107945094331468,-5.031321079878536,-5.6946260422317785,9.265493346458562,10.890016613878544,46.13262389336275,56.069919201998495,110.45313264386444,102.92679080580555,189.6052755391554,0.10507449550435996,15.670744,16.03373,15.139665,0.9714883,0.6975346778620449,-4.0176941932659975,0.47301737135254174
6087070235945911040,200.53734794513028,-45.938197569392095,,-2.4166517052996936,-2.5864484667068384,-4.119393674535691,-4.290762067585575,-5.028579491321086,-4.929501076457623,-5.564829893497834,9.261059663671201,10.828776412137199,44.43830340617754,52.036110473764445,102.66721859954464,93.71312721897952,168.24104506501362,0.09088298064167012,15.76831,16.120604,15.241905,0.97479486,0.5524330046575471,-11.550502601512013,-5.408242764136791
6087075767863759872,200.95514141153447,-45.98654643822599,,-2.416478392135919,-2.674693536182941,-4.279638610223794,-4.548726573484478,-5.351249333018498,-5.362905573951161,-6.059862636909776,9.259581463493294,11.745659709174445,51.50571780884162,65.99189952897669,138.19735569371753,139.6890068280796,265.4269732926111,0.07902996314967559,15.4316435,15.815451,14.784795,0.97161376,1.1416350991576671,4.806657689221371,0.18667556870543245
