Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75
mag_F378,19.4853,0.0342,0.0507,19.4907,0.0834,19.4811,19.4831,0.0540,100,19.3363,20.0802,19.4530,19.5230
mag_F395,19.6465,0.0340,0.0504,19.6667,0.0813,19.6539,19.6454,0.0420,100,19.4966,20.2206,19.6253,19.6915
mag_F410,20.6781,0.0160,0.0237,20.6861,0.0688,20.6763,20.6775,0.0227,100,20.6180,21.2745,20.6633,20.6940
mag_F430,20.8905,0.0165,0.0245,20.8992,0.0616,20.8906,20.8892,0.0225,100,20.8333,21.4201,20.8748,20.9083
mag_F515,21.0572,0.0135,0.0199,21.0666,0.0567,21.0582,21.0567,0.0165,100,21.0239,21.5702,21.0456,21.0722
mag_F660,20.5770,0.0112,0.0167,20.5787,0.0339,20.5754,20.5766,0.0149,100,20.4345,20.8162,20.5655,20.5864
mag_F861,21.2015,0.0072,0.0107,21.2025,0.0294,21.2016,21.2011,0.0096,100,20.9940,21.3716,21.1948,21.2088
